Feature,Importance,Abs_Importance
worst,-10.313769939747147,10.313769939747147
disappointing,-10.01863375973216,10.01863375973216
great,9.69704165413192,9.69704165413192
boring,-9.297404973066046,9.297404973066046
excellent,8.971816678079357,8.971816678079357
poor,-8.85224137345875,8.85224137345875
waste,-8.46240228371617,8.46240228371617
disappointment,-8.292695832223282,8.292695832223282
disappointed,-8.25356627506641,8.25356627506641
horrible,-7.876781322039094,7.876781322039094
awesome,7.464668701159899,7.464668701159899
terrible,-6.9173725919894355,6.9173725919894355
unfortunately,-6.893046183098631,6.893046183098631
love,6.647995897326906,6.647995897326906
perfect,6.554565574611744,6.554565574611744
awful,-6.5432349023433005,6.5432349023433005
poorly,-6.195388977971919,6.195388977971919
best,6.161983827165432,6.161983827165432
amazing,6.015129479415656,6.015129479415656
wonderful,5.672630714074013,5.672630714074013
favorite,5.543120450920733,5.543120450920733
fantastic,5.539712710621866,5.539712710621866
perfectly,5.370096529480562,5.370096529480562
bad,-5.260239757055578,5.260239757055578
cant wait,5.2240663637509215,5.2240663637509215
nothing,-4.90902617991895,4.90902617991895
easy,4.903500618464904,4.903500618464904
useless,-4.899920533005474,4.899920533005474
broke,-4.889759565349489,4.889759565349489
well worth,4.888887495223907,4.888887495223907
loved,4.817161665614201,4.817161665614201
dont buy,-4.687572429274027,4.687572429274027
worse,-4.62933156278178,4.62933156278178
returned,-4.605800741227788,4.605800741227788
overrated,-4.58052735704969,4.58052735704969
return,-4.543888864557638,4.543888864557638
complaint,4.475575199129312,4.475575199129312
beware,-4.433791118593183,4.433791118593183
dull,-4.428577352535941,4.428577352535941
highly recommend,4.3801855107839796,4.3801855107839796
instead,-4.304284597845831,4.304284597845831
pleased,4.286341167244998,4.286341167244998
crap,-4.236733763966107,4.236733763966107
skip,-4.227206175445714,4.227206175445714
enjoyed,4.211901804328803,4.211901804328803
good,4.183978112733934,4.183978112733934
superb,4.143317652962267,4.143317652962267
wont disappointed,4.14281536680585,4.14281536680585
two star,-4.055900210326329,4.055900210326329
fun,4.050807434689822,4.050807434689822
barely,-4.0114362874546625,4.0114362874546625
junk,-3.9998870564400275,3.9998870564400275
lame,-3.992729058341728,3.992729058341728
wasted,-3.9665759754046173,3.9665759754046173
annoying,-3.9465774763261146,3.9465774763261146
outstanding,3.946107086026275,3.946107086026275
maybe,-3.941861788124979,3.941861788124979
stopped,-3.912726827565283,3.912726827565283
lack,-3.899602216266228,3.899602216266228
trash,-3.8987949564515256,3.8987949564515256
refund,-3.8574153650837,3.8574153650837
incredible,3.8493424349475394,3.8493424349475394
unless,-3.8318817704310555,3.8318817704310555
even better,3.819851360161187,3.819851360161187
suck,-3.797264194747819,3.797264194747819
sorry,-3.788651283910559,3.788651283910559
weak,-3.788385464770716,3.788385464770716
beautiful,3.7711533593295488,3.7711533593295488
solid,3.759530223369354,3.759530223369354
ridiculous,-3.747635677982149,3.747635677982149
misleading,-3.745840463136538,3.745840463136538
fascinating,3.7313629996881716,3.7313629996881716
stink,-3.7302001089289085,3.7302001089289085
failed,-3.68431982217446,3.68431982217446
brilliant,3.6699927994816983,3.6699927994816983
one best,3.6510647227764843,3.6510647227764843
stupid,-3.628468632801125,3.628468632801125
mediocre,-3.6283643793741867,3.6283643793741867
waste money,-3.581898206626119,3.581898206626119
garbage,-3.5691228349235247,3.5691228349235247
nice,3.5584491255562276,3.5584491255562276
money,-3.556694014836392,3.556694014836392
ok,-3.5338108604613616,3.5338108604613616
doesnt work,-3.49368362907611,3.49368362907611
returning,-3.4658878186907818,3.4658878186907818
couldnt put,3.459277507435936,3.459277507435936
classic,3.4521780868229497,3.4521780868229497
depressing,-3.447267626473497,3.447267626473497
dissapointed,-3.441675201022958,3.441675201022958
go wrong,3.438970307138126,3.438970307138126
save money,-3.434732655882658,3.434732655882658
worthless,-3.421058976527331,3.421058976527331
defective,-3.405541065279895,3.405541065279895
hilarious,3.3858110871032028,3.3858110871032028
one star,-3.3666476806673784,3.3666476806673784
attempt,-3.35973602137637,3.35973602137637
pathetic,-3.338298493878218,3.338298493878218
unique,3.336314194187613,3.336314194187613
avoid,-3.328963366782468,3.328963366782468
powerful,3.3283150398609758,3.3283150398609758
